Name,YahooTicker,Synonyme
Adidas,ADS.DE,dax
Airbus,AIR.PA,dax
Allianz,ALV.DE,dax
BASF,BAS.DE,dax
Bayer,BAYN.DE,dax
Beiersdorf,BEI.DE,dax
BMW,BMW.DE,dax
Brenntag,BNR.DE,dax
Commerzbank,CBK.DE,dax
Continental,CON.DE,dax
Covestro,1COV.DE,dax
Daimler Truck,DTG.DE,dax
Deutsche Bank,DBK.DE,dax
Deutsche Börse,DB1.DE,dax
Deutsche Post,DHL.DE,dax
Deutsche Telekom,DTE.DE,dax
E.ON,EOAN.DE,dax
Fresenius,FRE.DE,dax
Fresenius Medical Care,FME.DE,dax
Hannover Re,HNR1.DE,dax
Heidelberg Materials,HEI.DE,dax
Henkel,HEN3.DE,dax
Infineon Technologies,IFX.DE,dax
Mercedes-Benz Group,MBG.DE,dax
Merck,MRK.DE,dax
MTU Aero Engines,MTX.DE,dax
Munich Re,MUV2.DE,dax
Porsche,P911.DE,dax
Porsche SE,PAH3.DE,dax
Qiagen,QIA.DE,dax
Rheinmetall,RHM.DE,dax
RWE,RWE.DE,dax
SAP,SAP.DE,dax
Sartorius,SRT3.DE,dax
Siemens,SIE.DE,dax
Siemens Energy,ENR.DE,dax
Siemens Healthineers,SHL.DE,dax
Symrise,SY1.DE,dax
Volkswagen Group,VOW3.DE,dax
Vonovia,VNA.DE,dax
Zalando,ZAL.DE,dax
Adobe Inc.,ADBE,nasdaq
Advanced Micro Devices,AMD,nasdaq
Airbnb,ABNB,nasdaq
Alphabet Inc. (Class A),GOOGL,nasdaq
Alphabet Inc. (Class C),GOOG,nasdaq
Amazon,AMZN,nasdaq
American Electric Power,AEP,nasdaq
Amgen,AMGN,nasdaq
Analog Devices,ADI,nasdaq
Ansys,ANSS,nasdaq
Apple Inc.,AAPL,nasdaq
Applied Materials,AMAT,nasdaq
AppLovin,APP,nasdaq
Arm Holdings,ARM,nasdaq
ASML Holding,ASML,nasdaq
AstraZeneca,AZN,nasdaq
Atlassian,TEAM,nasdaq
Autodesk,ADSK,nasdaq
Automatic Data Processing,ADP,nasdaq
Axon Enterprise,AXON,nasdaq
Baker Hughes,BKR,nasdaq
Biogen,BIIB,nasdaq
Booking Holdings,BKNG,nasdaq
Broadcom,AVGO,nasdaq
Cadence Design Systems,CDNS,nasdaq
CDW Corporation,CDW,nasdaq
Charter Communications,CHTR,nasdaq
Cintas,CTAS,nasdaq
Cisco,CSCO,nasdaq
Coca-Cola Europacific Partners,CCEP,nasdaq
Cognizant,CTSH,nasdaq
Comcast,CMCSA,nasdaq
Constellation Energy,CEG,nasdaq
Copart,CPRT,nasdaq
CoStar Group,CSGP,nasdaq
Costco,COST,nasdaq
CrowdStrike,CRWD,nasdaq
CSX Corporation,CSX,nasdaq
Datadog,DDOG,nasdaq
DexCom,DXCM,nasdaq
Diamondback Energy,FANG,nasdaq
DoorDash,DASH,nasdaq
Electronic Arts,EA,nasdaq
Exelon,EXC,nasdaq
Fastenal,FAST,nasdaq
Fortinet,FTNT,nasdaq
GE HealthCare,GEHC,nasdaq
Gilead Sciences,GILD,nasdaq
GlobalFoundries,GFS,nasdaq
Honeywell,HON,nasdaq
Idexx Laboratories,IDXX,nasdaq
Intel,INTC,nasdaq
Intuit,INTU,nasdaq
Intuitive Surgical,ISRG,nasdaq
Keurig Dr Pepper,KDP,nasdaq
KLA Corporation,KLAC,nasdaq
Kraft Heinz,KHC,nasdaq
Lam Research,LRCX,nasdaq
Linde plc,LIN,nasdaq
Lululemon,LULU,nasdaq
Marriott International,MAR,nasdaq
Marvell Technology,MRVL,nasdaq
Mercado Libre,MELI,nasdaq
Meta Platforms,META,nasdaq
Microchip Technology,MCHP,nasdaq
Micron Technology,MU,nasdaq
Microsoft,MSFT,nasdaq
MicroStrategy,MSTR,nasdaq
Mondelez International,MDLZ,nasdaq
Monster Beverage,MNST,nasdaq
"Netflix, Inc.",NFLX,nasdaq
Nvidia,NVDA,nasdaq
NXP Semiconductors,NXPI,nasdaq
O'Reilly Automotive,ORLY,nasdaq
Old Dominion Freight Line,ODFL,nasdaq
Onsemi,ON,nasdaq
Paccar,PCAR,nasdaq
Palantir Technologies,PLTR,nasdaq
Palo Alto Networks,PANW,nasdaq
Paychex,PAYX,nasdaq
PayPal,PYPL,nasdaq
PDD Holdings,PDD,nasdaq
PepsiCo,PEP,nasdaq
Qualcomm,QCOM,nasdaq
Regeneron Pharmaceuticals,REGN,nasdaq
Roper Technologies,ROP,nasdaq
Ross Stores,ROST,nasdaq
Shopify,SHOP,nasdaq
Starbucks,SBUX,nasdaq
Synopsys,SNPS,nasdaq
Take-Two Interactive,TTWO,nasdaq
T-Mobile US,TMUS,nasdaq
"Tesla, Inc.",TSLA,nasdaq
Texas Instruments,TXN,nasdaq
Trade Desk (The),TTD,nasdaq
Verisk Analytics,VRSK,nasdaq
Vertex Pharmaceuticals,VRTX,nasdaq
Warner Bros. Discovery,WBD,nasdaq
"Workday, Inc.",WDAY,nasdaq
Xcel Energy,XEL,nasdaq
Zscaler,ZS,nasdaq
3M,MMM,Standards&Poor
A. O. Smith,AOS,Standards&Poor
Abbott Laboratories,ABT,Standards&Poor
AbbVie,ABBV,Standards&Poor
Accenture,ACN,Standards&Poor
AES Corporation,AES,Standards&Poor
Aflac,AFL,Standards&Poor
Agilent Technologies,A,Standards&Poor
Air Products,APD,Standards&Poor
Akamai Technologies,AKAM,Standards&Poor
Albemarle Corporation,ALB,Standards&Poor
